=============================================================
Comparacion - Recta Original (Bresenham vs DDA)
Idx |  Bresenham (x,y)  |    DDA (x,y)    | =?
----+--------------------+-----------------+----
  0 |            (10,80) |         (10,80) | ==
  1 |            (11,81) |         (11,81) | ==
  2 |            (11,82) |         (11,82) | ==
  3 |            (12,83) |         (12,83) | ==
  4 |            (12,84) |         (12,84) | ==
  5 |            (13,85) |         (13,85) | ==
  6 |            (14,86) |         (14,86) | ==
  7 |            (14,87) |         (14,87) | ==
  8 |            (15,88) |         (15,88) | ==
  9 |            (15,89) |         (15,89) | ==
 10 |            (16,90) |         (16,90) | ==
 11 |            (17,91) |         (17,91) | ==
 12 |            (17,92) |         (17,92) | ==
 13 |            (18,93) |         (18,93) | ==
 14 |            (18,94) |         (18,94) | ==
 15 |            (19,95) |         (19,95) | ==
 16 |            (20,96) |         (20,96) | ==
 17 |            (20,97) |         (20,97) | ==
 18 |            (21,98) |         (21,98) | ==
 19 |            (21,99) |         (21,99) | ==
 20 |           (22,100) |        (22,100) | ==
 21 |           (22,101) |        (22,101) | ==
 22 |           (23,102) |        (23,102) | ==
 23 |           (24,103) |        (24,103) | ==
 24 |           (24,104) |        (24,104) | ==
 25 |           (25,105) |        (25,105) | ==
 26 |           (25,106) |        (25,106) | ==
 27 |           (26,107) |        (26,107) | ==
 28 |           (27,108) |        (27,108) | ==
 29 |           (27,109) |        (27,109) | ==
 30 |           (28,110) |        (28,110) | ==
 31 |           (28,111) |        (28,111) | ==
 32 |           (29,112) |        (29,112) | ==
 33 |           (30,113) |        (30,113) | ==
 34 |           (30,114) |        (30,114) | ==
 35 |           (31,115) |        (31,115) | ==
 36 |           (31,116) |        (31,116) | ==
 37 |           (32,117) |        (32,117) | ==
 38 |           (33,118) |        (33,118) | ==
 39 |           (33,119) |        (33,119) | ==
 40 |           (34,120) |        (34,120) | ==
 41 |           (34,121) |        (34,121) | ==
 42 |           (35,122) |        (35,122) | ==
 43 |           (36,123) |        (36,123) | ==
 44 |           (36,124) |        (36,124) | ==
 45 |           (37,125) |        (37,125) | ==
 46 |           (37,126) |        (37,126) | ==
 47 |           (38,127) |        (38,127) | ==
 48 |           (39,128) |        (39,128) | ==
 49 |           (39,129) |        (39,129) | ==
 50 |           (40,130) |        (40,130) | ==
 51 |           (40,131) |        (40,131) | ==
 52 |           (41,132) |        (41,132) | ==
 53 |           (41,133) |        (41,133) | ==
 54 |           (42,134) |        (42,134) | ==
 55 |           (43,135) |        (43,135) | ==
 56 |           (43,136) |        (43,136) | ==
 57 |           (44,137) |        (44,137) | ==
 58 |           (44,138) |        (44,138) | ==
 59 |           (45,139) |        (45,139) | ==
 60 |           (46,140) |        (46,140) | ==
 61 |           (46,141) |        (46,141) | ==
 62 |           (47,142) |        (47,142) | ==
 63 |           (47,143) |        (47,143) | ==
 64 |           (48,144) |        (48,144) | ==
 65 |           (49,145) |        (49,145) | ==
 66 |           (49,146) |        (49,146) | ==
 67 |           (50,147) |        (50,147) | ==
 68 |           (50,148) |        (50,148) | ==
 69 |           (51,149) |        (51,149) | ==
 70 |           (52,150) |        (52,150) | ==
 71 |           (52,151) |        (52,151) | ==
 72 |           (53,152) |        (53,152) | ==
 73 |           (53,153) |        (53,153) | ==
 74 |           (54,154) |        (54,154) | ==
 75 |           (55,155) |        (55,155) | ==
 76 |           (55,156) |        (55,156) | ==
 77 |           (56,157) |        (56,157) | ==
 78 |           (56,158) |        (56,158) | ==
 79 |           (57,159) |        (57,159) | ==
 80 |           (58,160) |        (58,160) | ==
 81 |           (58,161) |        (58,161) | ==
 82 |           (59,162) |        (59,162) | ==
 83 |           (59,163) |        (59,163) | ==
 84 |           (60,164) |        (60,164) | ==
 85 |           (60,165) |        (60,165) | ==
 86 |           (61,166) |        (61,166) | ==
 87 |           (62,167) |        (62,167) | ==
 88 |           (62,168) |        (62,168) | ==
 89 |           (63,169) |        (63,169) | ==
 90 |           (63,170) |        (63,170) | ==
 91 |           (64,171) |        (64,171) | ==
 92 |           (65,172) |        (65,172) | ==
 93 |           (65,173) |        (65,173) | ==
 94 |           (66,174) |        (66,174) | ==
 95 |           (66,175) |        (66,175) | ==
 96 |           (67,176) |        (67,176) | ==
 97 |           (68,177) |        (68,177) | ==
 98 |           (68,178) |        (68,178) | ==
 99 |           (69,179) |        (69,179) | ==
100 |           (69,180) |        (69,180) | ==
101 |           (70,181) |        (70,181) | ==
102 |           (71,182) |        (71,182) | ==
103 |           (71,183) |        (71,183) | ==
104 |           (72,184) |        (72,184) | ==
105 |           (72,185) |        (72,185) | ==
106 |           (73,186) |        (73,186) | ==
107 |           (74,187) |        (74,187) | ==
108 |           (74,188) |        (74,188) | ==
109 |           (75,189) |        (75,189) | ==
110 |           (75,190) |        (75,190) | ==
111 |           (76,191) |        (76,191) | ==
112 |           (77,192) |        (77,192) | ==
113 |           (77,193) |        (77,193) | ==
114 |           (78,194) |        (78,194) | ==
115 |           (78,195) |        (78,195) | ==
116 |           (79,196) |        (79,196) | ==
117 |           (79,197) |        (79,197) | ==
118 |           (80,198) |        (80,198) | ==
119 |           (81,199) |        (81,199) | ==
120 |           (81,200) |        (81,200) | ==
121 |           (82,201) |        (82,201) | ==
122 |           (82,202) |        (82,202) | ==
123 |           (83,203) |        (83,203) | ==
124 |           (84,204) |        (84,204) | ==
125 |           (84,205) |        (84,205) | ==
126 |           (85,206) |        (85,206) | ==
127 |           (85,207) |        (85,207) | ==
128 |           (86,208) |        (86,208) | ==
129 |           (87,209) |        (87,209) | ==
130 |           (87,210) |        (87,210) | ==
131 |           (88,211) |        (88,211) | ==
132 |           (88,212) |        (88,212) | ==
133 |           (89,213) |        (89,213) | ==
134 |           (90,214) |        (90,214) | ==
135 |           (90,215) |        (90,215) | ==
136 |           (91,216) |        (91,216) | ==
137 |           (91,217) |        (91,217) | ==
138 |           (92,218) |        (92,218) | ==
139 |           (93,219) |        (93,219) | ==
140 |           (93,220) |        (93,220) | ==
141 |           (94,221) |        (94,221) | ==
142 |           (94,222) |        (94,222) | ==
143 |           (95,223) |        (95,223) | ==
144 |           (96,224) |        (96,224) | ==
145 |           (96,225) |        (96,225) | ==
146 |           (97,226) |        (97,226) | ==
147 |           (97,227) |        (97,227) | ==
148 |           (98,228) |        (98,228) | ==
149 |           (98,229) |        (98,229) | ==
150 |           (99,230) |        (99,230) | ==
151 |          (100,231) |       (100,231) | ==
152 |          (100,232) |       (100,232) | ==
153 |          (101,233) |       (101,233) | ==
154 |          (101,234) |       (101,234) | ==
155 |          (102,235) |       (102,235) | ==
156 |          (103,236) |       (103,236) | ==
157 |          (103,237) |       (103,237) | ==
158 |          (104,238) |       (104,238) | ==
159 |          (104,239) |       (104,239) | ==
160 |          (105,240) |       (105,240) | ==
161 |          (106,241) |       (106,241) | ==
162 |          (106,242) |       (106,242) | ==
163 |          (107,243) |       (107,243) | ==
164 |          (107,244) |       (107,244) | ==
165 |          (108,245) |       (108,245) | ==
166 |          (109,246) |       (109,246) | ==
167 |          (109,247) |       (109,247) | ==
168 |          (110,248) |       (110,248) | ==
169 |          (110,249) |       (110,249) | ==
170 |          (111,250) |       (111,250) | ==
171 |          (112,251) |       (112,251) | ==
172 |          (112,252) |       (112,252) | ==
173 |          (113,253) |       (113,253) | ==
174 |          (113,254) |       (113,254) | ==
175 |          (114,255) |       (114,255) | ==
176 |          (115,256) |       (115,256) | ==
177 |          (115,257) |       (115,257) | ==
178 |          (116,258) |       (116,258) | ==
179 |          (116,259) |       (116,259) | ==
180 |          (117,260) |       (117,260) | ==
181 |          (117,261) |       (117,261) | ==
182 |          (118,262) |       (118,262) | ==
183 |          (119,263) |       (119,263) | ==
184 |          (119,264) |       (119,264) | ==
185 |          (120,265) |       (120,265) | ==
186 |          (120,266) |       (120,266) | ==
187 |          (121,267) |       (121,267) | ==
188 |          (122,268) |       (122,268) | ==
189 |          (122,269) |       (122,269) | ==
190 |          (123,270) |       (123,270) | ==
191 |          (123,271) |       (123,271) | ==
192 |          (124,272) |       (124,272) | ==
193 |          (125,273) |       (125,273) | ==
194 |          (125,274) |       (125,274) | ==
195 |          (126,275) |       (126,275) | ==
196 |          (126,276) |       (126,276) | ==
197 |          (127,277) |       (127,277) | ==
198 |          (128,278) |       (128,278) | ==
199 |          (128,279) |       (128,279) | ==
200 |          (129,280) |       (129,280) | ==
201 |          (129,281) |       (129,281) | ==
202 |          (130,282) |       (130,282) | ==
203 |          (131,283) |       (131,283) | ==
204 |          (131,284) |       (131,284) | ==
205 |          (132,285) |       (132,285) | ==
206 |          (132,286) |       (132,286) | ==
207 |          (133,287) |       (133,287) | ==
208 |          (134,288) |       (134,288) | ==
209 |          (134,289) |       (134,289) | ==
210 |          (135,290) |       (135,290) | ==
211 |          (135,291) |       (135,291) | ==
212 |          (136,292) |       (136,292) | ==
213 |          (136,293) |       (136,293) | ==
214 |          (137,294) |       (137,294) | ==
215 |          (138,295) |       (138,295) | ==
216 |          (138,296) |       (138,296) | ==
217 |          (139,297) |       (139,297) | ==
218 |          (139,298) |       (139,298) | ==
219 |          (140,299) |       (140,299) | ==
220 |          (141,300) |       (141,300) | ==
221 |          (141,301) |       (141,301) | ==
222 |          (142,302) |       (142,302) | ==
223 |          (142,303) |       (142,303) | ==
224 |          (143,304) |       (143,304) | ==
225 |          (144,305) |       (144,305) | ==
226 |          (144,306) |       (144,306) | ==
227 |          (145,307) |       (145,307) | ==
228 |          (145,308) |       (145,308) | ==
229 |          (146,309) |       (146,309) | ==
230 |          (147,310) |       (147,310) | ==
231 |          (147,311) |       (147,311) | ==
232 |          (148,312) |       (148,312) | ==
233 |          (148,313) |       (148,313) | ==
234 |          (149,314) |       (149,314) | ==
235 |          (150,315) |       (150,315) | ==
236 |          (150,316) |       (150,316) | ==
237 |          (151,317) |       (151,317) | ==
238 |          (151,318) |       (151,318) | ==
239 |          (152,319) |       (152,319) | ==
240 |          (153,320) |       (153,320) | ==
241 |          (153,321) |       (153,321) | ==
242 |          (154,322) |       (154,322) | ==
243 |          (154,323) |       (154,323) | ==
244 |          (155,324) |       (155,324) | ==
245 |          (155,325) |       (155,325) | ==
246 |          (156,326) |       (156,326) | ==
247 |          (157,327) |       (157,327) | ==
248 |          (157,328) |       (157,328) | ==
249 |          (158,329) |       (158,329) | ==
250 |          (158,330) |       (158,330) | ==
251 |          (159,331) |       (159,331) | ==
252 |          (160,332) |       (160,332) | ==
253 |          (160,333) |       (160,333) | ==
254 |          (161,334) |       (161,334) | ==
255 |          (161,335) |       (161,335) | ==
256 |          (162,336) |       (162,336) | ==
257 |          (163,337) |       (163,337) | ==
258 |          (163,338) |       (163,338) | ==
259 |          (164,339) |       (164,339) | ==
260 |          (164,340) |       (164,340) | ==
261 |          (165,341) |       (165,341) | ==
262 |          (166,342) |       (166,342) | ==
263 |          (166,343) |       (166,343) | ==
264 |          (167,344) |       (167,344) | ==
265 |          (167,345) |       (167,345) | ==
266 |          (168,346) |       (168,346) | ==
267 |          (169,347) |       (169,347) | ==
268 |          (169,348) |       (169,348) | ==
269 |          (170,349) |       (170,349) | ==
270 |          (170,350) |       (170,350) | ==
271 |          (171,351) |       (171,351) | ==
272 |          (172,352) |       (172,352) | ==
273 |          (172,353) |       (172,353) | ==
274 |          (173,354) |       (173,354) | ==
275 |          (173,355) |       (173,355) | ==
276 |          (174,356) |       (174,356) | ==
277 |          (174,357) |       (174,357) | ==
278 |          (175,358) |       (175,358) | ==
279 |          (176,359) |       (176,359) | ==
280 |          (176,360) |       (176,360) | ==
281 |          (177,361) |       (177,361) | ==
282 |          (177,362) |       (177,362) | ==
283 |          (178,363) |       (178,363) | ==
284 |          (179,364) |       (179,364) | ==
285 |          (179,365) |       (179,365) | ==
286 |          (180,366) |       (180,366) | ==
287 |          (180,367) |       (180,367) | ==
288 |          (181,368) |       (181,368) | ==
289 |          (182,369) |       (182,369) | ==
290 |          (182,370) |       (182,370) | ==
291 |          (183,371) |       (183,371) | ==
292 |          (183,372) |       (183,372) | ==
293 |          (184,373) |       (184,373) | ==
294 |          (185,374) |       (185,374) | ==
295 |          (185,375) |       (185,375) | ==
296 |          (186,376) |       (186,376) | ==
297 |          (186,377) |       (186,377) | ==
298 |          (187,378) |       (187,378) | ==
299 |          (188,379) |       (188,379) | ==
300 |          (188,380) |       (188,380) | ==
301 |          (189,381) |       (189,381) | ==
302 |          (189,382) |       (189,382) | ==
303 |          (190,383) |       (190,383) | ==
304 |          (191,384) |       (191,384) | ==
305 |          (191,385) |       (191,385) | ==
306 |          (192,386) |       (192,386) | ==
307 |          (192,387) |       (192,387) | ==
308 |          (193,388) |       (193,388) | ==
309 |          (193,389) |       (193,389) | ==
310 |          (194,390) |       (194,390) | ==
311 |          (195,391) |       (195,391) | ==
312 |          (195,392) |       (195,392) | ==
313 |          (196,393) |       (196,393) | ==
314 |          (196,394) |       (196,394) | ==
315 |          (197,395) |       (197,395) | ==
316 |          (198,396) |       (198,396) | ==
317 |          (198,397) |       (198,397) | ==
318 |          (199,398) |       (199,398) | ==
319 |          (199,399) |       (199,399) | ==
320 |          (200,400) |       (200,400) | ==
----+--------------------+-----------------+----
Bresenham puntos: 321 | DDA puntos: 321 | Coincidencias: 321

